,time,konz,berechn. 1.ordnung,berechn. 2. ordnung
0,0.0,0.04,0.0,0.0
1,0.5,0.03251612903225806,-0.20714320996776867,5.753968253968257
2,1.0,0.025118279569892467,-0.46528360331907476,14.81164383561645
3,1.5,0.020989247311827955,-0.6448691802941545,22.643442622950822
4,2.0,0.018064516129032256,-0.7949298748698878,30.35714285714286
5,2.5,0.016,-0.916290731874155,37.5
6,3.0,0.014279569892473115,-1.0300496172308133,45.030120481927725
7,4.0,0.011784946236559136,-1.2220564797592317,59.854014598540175
8,5.0,0.010064516129032258,-1.3798634707896003,74.35897435897436
9,6.0,0.008946236559139785,-1.4976465064459838,86.77884615384616
10,7.0,0.007913978494623655,-1.620248828538316,101.35869565217394
11,8.0,0.007225806451612902,-1.711220606744043,113.39285714285717
12,9.0,0.0066236559139784944,-1.7982319837336724,125.97402597402598
13,10.0,0.00610752688172043,-1.8793575285460409,138.73239436619718
14,11.0,0.0056774193548387065,-1.9523826635609314,151.13636363636374
15,12.0,0.00533333333333333,-2.0149030205422656,162.50000000000014
16,13.0,0.005075268817204299,-2.064499961681637,172.03389830508482
17,14.0,0.004817204301075269,-2.116685714852207,182.5892857142857
18,15.0,0.004645161290322581,-2.153053359023082,190.27777777777774
19,16.0,0.004387096774193546,-2.210211772863031,202.94117647058835
20,17.0,0.004215053763440858,-2.2502171074767303,212.2448979591838
21,18.0,0.00404301075268817,-2.2918898038772983,222.340425531915
22,19.0,0.003956989247311827,-2.3133960090982613,227.71739130434787
23,20.0,0.0038709677419354817,-2.335374915817037,233.33333333333348
