,time,konz,berechn. 1.ordnung,berechn. 2. ordnung
0,0.0,0.04,0.0,0.0
1,0.5,0.037740112994350275,-0.058155920157074305,1.4970059880239575
2,1.0,0.034199623352165726,-0.1566648232005908,4.240088105726873
3,1.5,0.03148775894538606,-0.23928058871718266,6.758373205741631
4,2.0,0.029001883239171373,-0.32151868695415475,9.480519480519483
5,2.5,0.026892655367231635,-0.39702623946229987,12.184873949579838
6,3.0,0.025160075329566857,-0.4636210282652384,14.745508982035922
7,4.0,0.022146892655367227,-0.5911822539032574,20.153061224489804
8,5.0,0.019811676082862523,-0.7026079890641744,25.475285171102662
9,6.0,0.018003766478342748,-0.7982984693104282,30.543933054393307
10,7.0,0.016497175141242937,-0.8856902914254381,35.61643835616439
11,8.0,0.015216572504708098,-0.9664943238407342,40.71782178217822
12,9.0,0.01416195856873823,-1.0383200584119896,45.61170212765957
13,10.0,0.013258003766478343,-1.104278026203787,50.42613636363636
14,11.0,0.012429378531073445,-1.1688165473413583,55.45454545454547
15,12.0,0.01175141242937853,-1.224906013992402,60.096153846153854
16,13.0,0.011148775894538606,-1.277549747477824,64.69594594594595
17,14.0,0.010546139359698682,-1.3331195986326345,69.82142857142857
18,15.0,0.010094161958568739,-1.3769222212910273,74.06716417910447
19,16.0,0.009642184557438796,-1.4227317573223215,78.71093749999999
20,17.0,0.009190207156308852,-1.4707409765086823,83.81147540983606
21,18.0,0.008888888888888889,-1.5040773967762742,87.5
22,19.0,0.008512241054613935,-1.5473742025295985,92.4778761061947
23,20.0,0.008210922787193976,-1.583414139012795,96.78899082568805
24,21.0,0.007909604519774013,-1.6208016710844153,101.4285714285714
25,22.0,0.007683615819209039,-1.649789207957668,105.14705882352942
26,23.0,0.007382297551789077,-1.689794542571367,110.4591836734694
27,24.0,0.007156308851224106,-1.720885129641398,114.73684210526315
28,25.0,0.006930320150659133,-1.7529734441928986,119.29347826086959
29,26.0,0.0067043314500941625,-1.786125651509799,124.15730337078651
30,27.0,0.006553672316384182,-1.8088539025873551,127.58620689655169
31,28.0,0.0063276836158192105,-1.843945222398625,133.03571428571425
32,29.0,0.006177024482109229,-1.8680427739776855,136.89024390243898
33,30.0,0.006026365348399248,-1.892735386568057,140.93749999999994
